name,level,industry,capability_domain,sources,original_names
fund_compare,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,fund_compare
fund_manager_profile,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,fund_manager_profile
fund_research,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,fund_research|fund-research
getdesign_md,L1,transferable,C09_集成连接器,AlphaAgent|BetaAgent,getdesign-md
github,L0,universal,C09_集成连接器,AlphaAgent|BetaAgent|DeltaAgent|EpsilonAgent,github
github_api_upload,L1,universal,C09_集成连接器,DeltaAgent,github-api-upload
global_asset_allocation,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,global_asset_allocation|global-asset-allocation
go_concurrency,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,go-concurrency
grammar,L0,universal,C04_报告文档生成,AlphaAgent|BetaAgent,Grammar
healthcheck,L1,universal,C09_集成连接器,EpsilonAgent,healthcheck
humanizer,L0,universal,C04_报告文档生成,AlphaAgent|BetaAgent,humanizer
humanizer_academic_zh,L1,universal,C04_报告文档生成,AlphaAgent|BetaAgent,humanizer-academic-zh
insurance_recommend,L2,financial,C07_客户营销服务渠道,AlphaAgent,insurance_recommend
intelligent_research_platform,L4,financial,C09_集成连接器,EpsilonAgent,intelligent-research-platform
invoice_check,L2,universal,C01_信息提取与结构化,AlphaAgent,invoice_check
ipo_analysis,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,ipo_analysis
jrj_fin_search_skill,L1,financial,C09_集成连接器,DeltaAgent,jrj-fin-search-skill
kexue_due_diligence_engine,L3,financial,C08_投资组合定价,EpsilonAgent,kexue-due-diligence-engine
kimiim_cli,L1,universal,C09_集成连接器,EpsilonAgent,kimiim-cli
kpi_performance,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,kpi_performance
lexiang_knowledge_base,L1,universal,C09_集成连接器,DeltaAgent,lexiang-knowledge-base
liquidity_alert,L2,financial,C05_风险合规安全,AlphaAgent|BetaAgent,liquidity-alert|liquidity_alert
lobby_emotion,L1,financial,C07_客户营销服务渠道,AlphaAgent,lobby_emotion
lobby_marketing,L2,financial,C07_客户营销服务渠道,AlphaAgent,lobby_marketing
lobby_queue,L1,financial,C07_客户营销服务渠道,AlphaAgent,lobby_queue
lobby_routing,L2,financial,C06_流程编排路由,AlphaAgent,lobby_routing
ma_scheme,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,ma-scheme|ma_scheme
margin_trading,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,margin_trading
market_view,L2,financial,C04_报告文档生成,AlphaAgent|BetaAgent,market-view|market_view
meeting_minutes,L1,universal,C04_报告文档生成,AlphaAgent|BetaAgent,meeting_minutes|meeting-minutes
minimax_xlsx,L1,universal,C04_报告文档生成,DeltaAgent,minimax-xlsx
mlops_automation_cn,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,mlops-automation-cn
model_healthcheck,L0,universal,C03_数据分析与洞察,AlphaAgent|BetaAgent,model-healthcheck
modified_code_review,L2,universal,C07_客户营销服务渠道,AlphaAgent|BetaAgent,modified-code-review
multi_search_engine,L0,universal,C02_知识检索与RAG,AlphaAgent|BetaAgent|DeltaAgent|EpsilonAgent,multi-search-engine
multimodal_content_generation,L1,universal,C04_报告文档生成,DeltaAgent,multimodal-content-generation
nano_pdf,L0,universal,C09_集成连接器,AlphaAgent|BetaAgent|EpsilonAgent,nano-pdf
neodata_financial_search,L1,financial,C09_集成连接器,DeltaAgent,neodata-financial-search
newman,L0,universal,C09_集成连接器,AlphaAgent|BetaAgent,newman
no_code_frontend_builder,L2,universal,C03_数据分析与洞察,AlphaAgent|BetaAgent,no-code-frontend-builder
nodejs_backend_patterns,L1,universal,C07_客户营销服务渠道,AlphaAgent|BetaAgent,nodejs-backend-patterns
objection_training,L2,financial,C07_客户营销服务渠道,AlphaAgent|BetaAgent,objection-training|objection_training
obsidian,L1,universal,C09_集成连接器,DeltaAgent,obsidian
ontology,L0,universal,C10_沉淀归档治理,AlphaAgent|BetaAgent|EpsilonAgent,ontology
openai_image_gen,L1,universal,C09_集成连接器,EpsilonAgent,openai-image-gen
openai_whisper,L1,universal,C09_集成连接器,DeltaAgent,openai-whisper
openai_whisper_api,L1,universal,C09_集成连接器,EpsilonAgent,openai-whisper-api
openclaw_docker,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,openclaw-docker
openclaw_feishu_docs_perm_auto,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,openclaw-feishu-docs-perm-auto
opencli,L1,transferable,C06_流程编排路由,AlphaAgent,opencli
operational_risk,L2,financial,C05_风险合规安全,AlphaAgent,operational_risk
ops_daily_report,L1,universal,C04_报告文档生成,AlphaAgent|BetaAgent,ops_daily_report|ops-daily-report
options_strategy,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,options_strategy
pdf,L1,universal,C04_报告文档生成,DeltaAgent,pdf
pdf_intelligent_processing,L2,universal,C04_报告文档生成,EpsilonAgent,pdf-intelligent-processing
pdf_toolkit_pro,L1,universal,C04_报告文档生成,DeltaAgent,pdf-toolkit-pro
pdfkit_py,L1,universal,C04_报告文档生成,DeltaAgent,pdfkit-py
performance_attribution,L2,financial,C03_数据分析与洞察,AlphaAgent,performance_attribution
playwright_cli,L1,universal,C09_集成连接器,DeltaAgent,playwright-cli
policy_management,L2,financial,C02_知识检索与RAG,AlphaAgent|BetaAgent,policy_management
portfolio_management,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,portfolio_management
portfolio_optimize,L2,financial,C08_投资组合定价,AlphaAgent,portfolio_optimize
pptx,L1,universal,C04_报告文档生成,DeltaAgent,pptx
prd_developer,L1,transferable,C09_集成连接器,AlphaAgent|BetaAgent,prd-developer
product_manager_toolkit,L2,universal,C03_数据分析与洞察,AlphaAgent|BetaAgent,product-manager-toolkit
product_manual_rag,L2,financial,C02_知识检索与RAG,AlphaAgent|BetaAgent,product-manual-rag
product_pricing,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,product-pricing|product_pricing
py_test_creator,L0,universal,C04_报告文档生成,AlphaAgent|BetaAgent,py-test-creator
qq_email,L1,universal,C07_客户营销服务渠道,DeltaAgent,qq-email
quant_backtest,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,quant_backtest
quant_fund,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,quant_fund
rebalance,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,rebalance
regulatory_policy_rag,L2,universal,C02_知识检索与RAG,AlphaAgent|BetaAgent,regulatory-policy-rag
regulatory_reporting,L2,financial,C10_沉淀归档治理,AlphaAgent|BetaAgent,regulatory_reporting
renewal_alert,L2,financial,C07_客户营销服务渠道,AlphaAgent,renewal_alert
report_formatter,L1,general,C09_集成连接器,BetaAgent,report_formatter
research_notes,L2,financial,C04_报告文档生成,AlphaAgent,research_notes
research_rag,L2,universal,C02_知识检索与RAG,AlphaAgent|BetaAgent,research_rag
research_report,L2,financial,C04_报告文档生成,AlphaAgent|BetaAgent,research-report
review_evo,L1,universal,C05_风险合规安全,AlphaAgent|BetaAgent,review-evo
risk_analyzer,L1,general,C09_集成连接器,BetaAgent,risk_analyzer
risk_compliance,L2,financial,C05_风险合规安全,AlphaAgent|BetaAgent,risk-compliance
roadshow_material,L2,financial,C04_报告文档生成,AlphaAgent|BetaAgent,roadshow-material|roadshow_material
robo_advisor,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,robo_advisor
securities_research,L2,financial,C02_知识检索与RAG,AlphaAgent,securities_research
self_evolution_engine,L2,universal,C09_集成连接器,EpsilonAgent,self-evolution-engine
self_improvement,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent|DeltaAgent|EpsilonAgent,self-improvement
senior_backend,L2,universal,C07_客户营销服务渠道,AlphaAgent|BetaAgent,senior-backend
senior_devops,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent,senior-devops
sentiment_monitor,L2,universal,C03_数据分析与洞察,DeltaAgent,sentiment-monitor
skill_creator,L0,transferable,C06_流程编排路由,AlphaAgent|BetaAgent|DeltaAgent|EpsilonAgent,skill-creator
smart_customer_service,L2,financial,C07_客户营销服务渠道,AlphaAgent|BetaAgent,smart_customer_service
smart_marketing,L2,financial,C07_客户营销服务渠道,AlphaAgent|BetaAgent,smart_marketing
smart_underwriting,L2,financial,C05_风险合规安全,AlphaAgent|BetaAgent,smart_underwriting
story_cog,L1,transferable,C09_集成连接器,AlphaAgent|BetaAgent,story-cog
story_writer_bilingual_enhanced_edition,L1,general,C09_集成连接器,BetaAgent,Story-Writer-Bilingual-Enhanced-Edition
story_writer_—_bilingual_enhanced_edition,L2,universal,C06_流程编排路由,AlphaAgent,Story Writer — Bilingual Enhanced Edition
stress_test,L2,financial,C03_数据分析与洞察,AlphaAgent,stress_test
summarize,L1,universal,C06_流程编排路由,AlphaAgent|EpsilonAgent,summarize
supply_chain,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,supply_chain
supply_chain_finance,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,supply_chain_finance
suspicious_report,L2,financial,C05_风险合规安全,AlphaAgent,suspicious_report
tapd_openapi,L1,universal,C07_客户营销服务渠道,DeltaAgent,tapd-openapi
tavily_search,L0,universal,C02_知识检索与RAG,AlphaAgent|BetaAgent|EpsilonAgent,tavily-search
tax_planning,L2,transferable,C03_数据分析与洞察,AlphaAgent|BetaAgent,tax_planning|tax-planning
tencent_meeting_mcp,L1,universal,C07_客户营销服务渠道,DeltaAgent,tencent-meeting-mcp
three_agent_collaboration,L4,universal,C09_集成连接器,EpsilonAgent,three-agent-collaboration
trade_finance,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,trade_finance
trade_optimize,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,trade_optimize
underwriting_v2,L2,financial,C05_风险合规安全,AlphaAgent,underwriting_v2
unified_document_pipeline,L2,universal,C04_报告文档生成,BetaAgent,unified_document_pipeline
valuation_helper,L2,financial,C03_数据分析与洞察,AlphaAgent|BetaAgent,valuation-helper|valuation_helper
video_editor,L1,transferable,C09_集成连接器,AlphaAgent|BetaAgent,video-editor
video_to_prompt,L1,transferable,C01_信息提取与结构化,AlphaAgent|BetaAgent,video-to-prompt
vite_react_tailwind,L1,transferable,C09_集成连接器,AlphaAgent|BetaAgent,vite-react-tailwind
wealth_management,L2,financial,C08_投资组合定价,AlphaAgent|BetaAgent,wealth-management
weather,L0,universal,C03_数据分析与洞察,AlphaAgent|BetaAgent|DeltaAgent|EpsilonAgent,weather
web_search,L1,general,C09_集成连接器,BetaAgent,web_search
wecom_template_card,L2,financial,C05_风险合规安全,AlphaAgent|BetaAgent,wecom-template-card
wecom_unified,L1,universal,C07_客户营销服务渠道,DeltaAgent,wecom-unified
weiyun,L1,universal,C07_客户营销服务渠道,DeltaAgent,weiyun
workspace_netdrive,L1,transferable,C09_集成连接器,AlphaAgent|EpsilonAgent,workspace-netdrive
xiapi_financial_roe_analysis,L2,financial,C03_数据分析与洞察,DeltaAgent,xiapi-financial-roe-analysis
xlsx,L1,universal,C04_报告文档生成,DeltaAgent,xlsx
xua_auto,L1,universal,C09_集成连接器,AlphaAgent|BetaAgent|EpsilonAgent,xua-auto|XUA-auto
